Drug_A,Drug_B,Level,Drug_A_MolecularWeight,Drug_A_XLogP,Drug_A_ExactMass,Drug_A_TPSA,Drug_B_MolecularWeight,Drug_B_XLogP,Drug_B_ExactMass,Drug_B_TPSA,Drug_A_ID,Drug_B_ID,Level_ID
Tramadol,Mineral oil,Moderate,263.37,2.6,263.18852904,32.7,1244.3,7.4,1243.51702653,400.0,154,575,2
Tramadol,Morphine,Major,263.37,2.6,263.18852904,32.7,285.34,0.8,285.13649347,52.9,154,54,3
Tramadol,Nabilone,Moderate,263.37,2.6,263.18852904,32.7,372.5,6.4,372.26644501,46.5,154,55,2
Tramadol,Naloxone,Moderate,263.37,2.6,263.18852904,32.7,327.4,2.1,327.14705815,70.0,154,108,2
Tramadol,Naltrexone,Major,263.37,2.6,263.18852904,32.7,341.4,1.9,341.16270821,70.0,154,1,3
Tramadol,Ondansetron,Major,263.37,2.6,263.18852904,32.7,293.4,2.3,293.152812238,39.8,154,27,3
Tramadol,Palonosetron,Major,263.37,2.6,263.18852904,32.7,296.4,2.8,296.188863393,23.6,154,28,3
Tramadol,Papaverine,Major,263.37,2.6,263.18852904,32.7,339.4,3.9,339.14705815,49.8,154,29,3
Tramadol,Phenolphthalein,Moderate,263.37,2.6,263.18852904,32.7,318.3,3.6,318.08920892,66.8,154,30,2
Phentermine,Tramadol,Major,149.23,1.9,149.120449483,26.0,263.37,2.6,263.18852904,32.7,56,154,3
Tramadol,Propantheline,Moderate,263.37,2.6,263.18852904,32.7,368.5,4.2,368.22256882,35.5,154,57,2
Tramadol,Rolapitant,Moderate,263.37,2.6,263.18852904,32.7,500.5,4.4,500.18984705,50.4,154,510,2
Tramadol,Scopolamine,Moderate,263.37,2.6,263.18852904,32.7,303.35,0.9,303.14705815,62.3,154,58,2
Tramadol,Sibutramine,Major,263.37,2.6,263.18852904,32.7,279.8,5.4,279.1753775,3.2,154,70,3
Tramadol,Trospium,Moderate,263.37,2.6,263.18852904,32.7,392.5,4.4,392.22256882,46.5,154,59,2
Acetohexamide,Acetazolamide,Moderate,324.4,2.4,324.1143783,101.0,222.3,-0.3,221.98813241,152.0,95,155,2
Acetazolamide,Albiglutide,Moderate,222.3,-0.3,221.98813241,152.0,3283.6,-14.6,3282.65028,1390.0,155,380,2
Acetazolamide,Alogliptin,Moderate,222.3,-0.3,221.98813241,152.0,339.4,0.6,339.16952493,93.7,155,481,2
Amphotericin B,Acetazolamide,Moderate,924.1,0.0,923.48784986,320.0,222.3,-0.3,221.98813241,152.0,156,155,2
Acetazolamide,Acetylsalicylic acid,Major,222.3,-0.3,221.98813241,152.0,180.16,1.2,180.04225873,63.6,155,60,3
Beclomethasone dipropionate,Acetazolamide,Moderate,521.0,3.0,520.2227812,107.0,222.3,-0.3,221.98813241,152.0,157,155,2
Betamethasone,Acetazolamide,Moderate,392.5,1.9,392.19990218,94.8,222.3,-0.3,221.98813241,152.0,13,155,2
Acetazolamide,Bisacodyl,Moderate,222.3,-0.3,221.98813241,152.0,361.4,3.8,361.13140809,65.5,155,465,2
Acetazolamide,Canagliflozin,Moderate,222.3,-0.3,221.98813241,152.0,444.5,3.2,444.14067323,118.0,155,469,2
Chlorpropamide,Acetazolamide,Moderate,276.74,2.3,276.0335411,83.7,222.3,-0.3,221.98813241,152.0,98,155,2
Cisapride,Acetazolamide,Major,465.9,3.4,465.1830623,86.1,222.3,-0.3,221.98813241,152.0,15,155,3
Acetazolamide,Dapagliflozin,Moderate,222.3,-0.3,221.98813241,152.0,408.9,2.3,408.1339662,99.4,155,470,2
Acetazolamide,Dexamethasone,Moderate,222.3,-0.3,221.98813241,152.0,392.5,1.9,392.19990218,94.8,155,7,2
Doxycycline,Acetazolamide,Minor,444.4,-0.7,444.15326573,182.0,222.3,-0.3,221.98813241,152.0,40,155,1
Acetazolamide,Dulaglutide,Moderate,222.3,-0.3,221.98813241,152.0,3314.6,-14.3,3313.5972414,1380.0,155,498,2
Acetazolamide,Empagliflozin,Moderate,222.3,-0.3,221.98813241,152.0,450.9,2.0,450.1445309,109.0,155,464,2
Acetazolamide,Ertugliflozin,Moderate,222.3,-0.3,221.98813241,152.0,436.9,1.7,436.1288808,109.0,155,499,2
Acetazolamide,Exenatide,Moderate,222.3,-0.3,221.98813241,152.0,4187.0,-21.0,4185.0306624,1780.0,155,500,2
Glimepiride,Acetazolamide,Moderate,490.6,3.9,490.22499137,133.0,222.3,-0.3,221.98813241,152.0,90,155,2
Acetazolamide,Glipizide,Moderate,222.3,-0.3,221.98813241,152.0,445.5,1.9,445.17837553,139.0,155,100,2
Acetazolamide,Glyburide,Moderate,222.3,-0.3,221.98813241,152.0,494.0,4.8,493.1438199,122.0,155,101,2
Acetazolamide,Glycerin,Moderate,222.3,-0.3,221.98813241,152.0,92.09,-1.8,92.047344113,60.7,155,573,2
Hydrocortisone,Acetazolamide,Moderate,362.5,1.6,362.20932405,94.8,222.3,-0.3,221.98813241,152.0,41,155,2
Insulin human,Acetazolamide,Moderate,5808.0,-13.1,5805.6443599,2450.0,222.3,-0.3,221.98813241,152.0,92,155,2
Acetazolamide,Insulin detemir,Moderate,222.3,-0.3,221.98813241,152.0,5917.0,-3.5,5914.7950469,2400.0,155,409,2
Insulin glargine,Acetazolamide,Moderate,6063.0,-14.1,6060.8251182,2590.0,222.3,-0.3,221.98813241,152.0,93,155,2
Acetazolamide,Insulin glulisine,Moderate,222.3,-0.3,221.98813241,152.0,5823.0,-12.1,5820.6440255,2450.0,155,410,2
Acetazolamide,Lactitol,Moderate,222.3,-0.3,221.98813241,152.0,344.31,-5.2,344.13186158,201.0,155,988,2
Lactulose,Acetazolamide,Moderate,342.3,-4.3,342.11621151,190.0,222.3,-0.3,221.98813241,152.0,21,155,2
Acetazolamide,Linagliptin,Moderate,222.3,-0.3,221.98813241,152.0,472.5,1.9,472.23352217,113.0,155,503,2
Acetazolamide,Liraglutide,Moderate,222.3,-0.3,221.98813241,152.0,3751.0,-3.4,3749.9498161,1510.0,155,504,2
Acetazolamide,Lixisenatide,Moderate,222.3,-0.3,221.98813241,152.0,4858.0,-30.8,4857.5510314,2090.0,155,505,2
Metformin,Acetazolamide,Major,129.16,-1.3,129.10144537,91.5,222.3,-0.3,221.98813241,152.0,9,155,3
Miglitol,Acetazolamide,Moderate,207.22,-2.6,207.11067264,104.0,222.3,-0.3,221.98813241,152.0,158,155,2
Acetazolamide,Mineral oil,Moderate,222.3,-0.3,221.98813241,152.0,1244.3,7.4,1243.51702653,400.0,155,575,2
Acetazolamide,Minocycline,Minor,222.3,-0.3,221.98813241,152.0,457.5,-0.6,457.18490021,165.0,155,547,1
Nateglinide,Acetazolamide,Moderate,317.4,3.2,317.19909372,66.4,222.3,-0.3,221.98813241,152.0,102,155,2
Acetazolamide,Phenolphthalein,Moderate,222.3,-0.3,221.98813241,152.0,318.3,3.6,318.08920892,66.8,155,30,2
Acetazolamide,Pioglitazone,Moderate,222.3,-0.3,221.98813241,152.0,356.4,3.8,356.11946368,93.6,155,31,2
Acetazolamide,Pramlintide,Moderate,222.3,-0.3,221.98813241,152.0,3949.0,-15.7,3947.9240297,1740.0,155,508,2
Acetazolamide,Prednisolone,Moderate,222.3,-0.3,221.98813241,152.0,360.4,1.6,360.19367399,94.8,155,42,2
Prednisone,Acetazolamide,Moderate,358.4,1.5,358.17802393,91.7,222.3,-0.3,221.98813241,152.0,43,155,2
Acetazolamide,Repaglinide,Moderate,222.3,-0.3,221.98813241,152.0,452.6,5.2,452.26750763,78.9,155,32,2
Rosiglitazone,Acetazolamide,Moderate,357.4,3.1,357.11471265,96.8,222.3,-0.3,221.98813241,152.0,33,155,2
Acetazolamide,Saxagliptin,Moderate,222.3,-0.3,221.98813241,152.0,315.4,0.7,315.19467705,90.4,155,511,2
Acetazolamide,Semaglutide,Moderate,222.3,-0.3,221.98813241,152.0,4114.0,-5.8,4112.1187318,1650.0,155,980,2
Acetazolamide,Sibutramine,Moderate,222.3,-0.3,221.98813241,152.0,279.8,5.4,279.1753775,3.2,155,70,2
Acetazolamide,Sitagliptin,Moderate,222.3,-0.3,221.98813241,152.0,407.31,0.7,407.11807909,77.0,155,513,2
Tetracycline,Acetazolamide,Minor,444.4,-2.0,444.15326573,182.0,222.3,-0.3,221.98813241,152.0,44,155,1
Acetazolamide,Tolazamide,Moderate,222.3,-0.3,221.98813241,152.0,311.4,1.5,311.13036271,86.9,155,103,2
Acetazolamide,Tolbutamide,Moderate,222.3,-0.3,221.98813241,152.0,270.35,2.3,270.10381361,83.7,155,104,2
Triamcinolone,Acetazolamide,Moderate,394.4,1.2,394.17916674,115.0,222.3,-0.3,221.98813241,152.0,45,155,2
Troglitazone,Acetazolamide,Moderate,441.5,5.1,441.16099414,110.0,222.3,-0.3,221.98813241,152.0,11,155,2
Atropine,Acetylcholine,Moderate,289.4,1.8,289.1677936,49.8,146.21,0.2,146.118103753,26.3,48,159,2
Clidinium,Acetylcholine,Moderate,352.4,3.3,352.19126869,46.5,146.21,0.2,146.118103753,26.3,49,159,2
Dicyclomine,Acetylcholine,Moderate,309.5,5.5,309.266779359,29.5,146.21,0.2,146.118103753,26.3,50,159,2
Glycopyrronium,Acetylcholine,Moderate,318.4,3.1,318.20691876,46.5,146.21,0.2,146.118103753,26.3,91,159,2
Hyoscyamine,Acetylcholine,Moderate,289.4,1.8,289.1677936,49.8,146.21,0.2,146.118103753,26.3,52,159,2
Acetylcholine,Mepenzolate,Moderate,146.21,0.2,146.118103753,26.3,340.4,3.2,340.19126869,46.5,159,294,2
Acetylcholine,Methscopolamine,Moderate,146.21,0.2,146.118103753,26.3,318.4,1.3,318.17053325,59.1,159,738,2
Propantheline,Acetylcholine,Moderate,368.5,4.2,368.22256882,35.5,146.21,0.2,146.118103753,26.3,57,159,2
Scopolamine,Acetylcholine,Moderate,303.35,0.9,303.14705815,62.3,146.21,0.2,146.118103753,26.3,58,159,2
Trospium,Acetylcholine,Moderate,392.5,4.4,392.22256882,46.5,146.21,0.2,146.118103753,26.3,59,159,2
Acetylcysteine,Activated charcoal,Minor,163.2,0.4,163.03031432,67.4,12.011,0.6,12.0,0.0,160,1058,1
Abarelix,Famotidine,Moderate,1416.1,3.7,1414.6840715,425.0,337.5,-0.6,337.04493627,238.0,161,18,2
Acetohexamide,Famotidine,Moderate,324.4,2.4,324.1143783,101.0,337.5,-0.6,337.04493627,238.0,95,18,2
Adenosine,Famotidine,Moderate,267.24,-1.1,267.09675391,140.0,337.5,-0.6,337.04493627,238.0,162,18,2
Famotidine,Salbutamol,Moderate,337.5,-0.6,337.04493627,238.0,239.31,0.3,239.15214353,72.7,18,110,2
Alendronic acid,Famotidine,Minor,249.1,-6.5,249.01672575,161.0,337.5,-0.6,337.04493627,238.0,163,18,1
Alfuzosin,Famotidine,Moderate,389.4,1.7,389.20630436,112.0,337.5,-0.6,337.04493627,238.0,164,18,2
Famotidine,Amiodarone,Moderate,337.5,-0.6,337.04493627,238.0,645.3,7.6,645.02369,42.7,18,540,2
Famotidine,Amisulpride,Moderate,337.5,-0.6,337.04493627,238.0,369.5,1.5,369.17222752,110.0,18,541,2
Amitriptyline,Famotidine,Moderate,277.4,5.0,277.183049738,3.2,337.5,-0.6,337.04493627,238.0,165,18,2
Amoxapine,Famotidine,Moderate,313.8,2.6,313.0981898,36.9,337.5,-0.6,337.04493627,238.0,166,18,2
Anagrelide,Famotidine,Moderate,256.08,1.6,254.9966172,44.7,337.5,-0.6,337.04493627,238.0,167,18,2
Famotidine,Apalutamide,Moderate,337.5,-0.6,337.04493627,238.0,477.4,3.0,477.08825856,121.0,18,574,2
Apomorphine,Famotidine,Moderate,267.32,2.3,267.125928785,43.7,337.5,-0.6,337.04493627,238.0,168,18,2
Famotidine,Arformoterol,Moderate,337.5,-0.6,337.04493627,238.0,344.4,1.8,344.17360725,90.8,18,112,2
Famotidine,Aripiprazole,Moderate,337.5,-0.6,337.04493627,238.0,448.4,4.6,447.1480325,44.8,18,382,2
Famotidine,Asenapine,Moderate,337.5,-0.6,337.04493627,238.0,285.8,3.8,285.0920418,12.5,18,383,2
Astemizole,Famotidine,Moderate,458.6,6.0,458.24818979,42.3,337.5,-0.6,337.04493627,238.0,169,18,2
Famotidine,Atazanavir,Major,337.5,-0.6,337.04493627,238.0,704.9,5.6,704.38974802,171.0,18,261,3
Atomoxetine,Famotidine,Moderate,255.35,3.7,255.162314293,21.3,337.5,-0.6,337.04493627,238.0,113,18,2
Famotidine,Axitinib,Minor,337.5,-0.6,337.04493627,238.0,386.5,4.2,386.12013238,96.0,18,1067,1
Azithromycin,Famotidine,Moderate,749.0,4.0,748.50852574,180.0,337.5,-0.6,337.04493627,238.0,170,18,2
Famotidine,Bacampicillin,Moderate,337.5,-0.6,337.04493627,238.0,465.5,2.7,465.15697138,163.0,18,837,2
Famotidine,Bedaquiline,Moderate,337.5,-0.6,337.04493627,238.0,555.5,7.2,554.15689,45.6,18,741,2
Famotidine,Bepridil,Moderate,337.5,-0.6,337.04493627,238.0,366.5,5.3,366.267113712,15.7,18,742,2
Famotidine,Bicalutamide,Moderate,337.5,-0.6,337.04493627,238.0,430.4,2.3,430.06104075,116.0,18,739,2
Famotidine,Bosutinib,Moderate,337.5,-0.6,337.04493627,238.0,530.4,5.4,529.1647452,82.9,18,743,2
Famotidine,Brigatinib,Moderate,337.5,-0.6,337.04493627,238.0,584.1,4.6,583.2591382,85.9,18,789,2
Buprenorphine,Famotidine,Moderate,467.6,5.0,467.30355879,62.2,337.5,-0.6,337.04493627,238.0,171,18,2
Famotidine,Cefditoren,Moderate,337.5,-0.6,337.04493627,238.0,506.6,0.7,506.05008122,242.0,18,265,2
Famotidine,Cefpodoxime,Moderate,337.5,-0.6,337.04493627,238.0,427.5,-1.4,427.06202563,210.0,18,811,2
Famotidine,Cefuroxime,Moderate,337.5,-0.6,337.04493627,238.0,424.4,-0.2,424.06888465,199.0,18,266,2
Famotidine,Ceritinib,Moderate,337.5,-0.6,337.04493627,238.0,558.1,6.4,557.2227389,114.0,18,815,2
Chloroquine,Famotidine,Moderate,319.9,4.6,319.1815255,28.2,337.5,-0.6,337.04493627,238.0,172,18,2
Chlorpromazine,Famotidine,Moderate,318.9,5.2,318.0957475,31.8,337.5,-0.6,337.04493627,238.0,173,18,2
Chlorpropamide,Famotidine,Moderate,276.74,2.3,276.0335411,83.7,337.5,-0.6,337.04493627,238.0,98,18,2
Ciprofloxacin,Famotidine,Moderate,331.34,-1.1,331.13321961,72.9,337.5,-0.6,337.04493627,238.0,174,18,2
Cisapride,Famotidine,Moderate,465.9,3.4,465.1830623,86.1,337.5,-0.6,337.04493627,238.0,15,18,2
Citalopram,Famotidine,Moderate,324.4,3.2,324.16379146,36.3,337.5,-0.6,337.04493627,238.0,175,18,2
Famotidine,Clarithromycin,Moderate,337.5,-0.6,337.04493627,238.0,748.0,3.2,747.47689126,183.0,18,5,2
Clofazimine,Famotidine,Moderate,473.4,7.1,472.1221521,40.0,337.5,-0.6,337.04493627,238.0,176,18,2
Famotidine,Clomipramine,Moderate,337.5,-0.6,337.04493627,238.0,314.9,5.2,314.1549764,6.5,18,723,2
Clozapine,Famotidine,Moderate,326.8,3.1,326.1298243,30.9,337.5,-0.6,337.04493627,238.0,177,18,2
Famotidine,Crizotinib,Moderate,337.5,-0.6,337.04493627,238.0,450.3,3.7,449.1185439,78.0,18,746,2
Famotidine,Dabrafenib,Moderate,337.5,-0.6,337.04493627,238.0,519.6,4.8,519.10105173,147.0,18,889,2
Famotidine,Dacomitinib,Moderate,337.5,-0.6,337.04493627,238.0,469.9,4.4,469.1680809,79.4,18,1068,2
Famotidine,Dasatinib,Major,337.5,-0.6,337.04493627,238.0,488.0,3.6,487.155722,135.0,18,747,3
Daunorubicin,Famotidine,Moderate,527.5,1.8,527.17914612,186.0,337.5,-0.6,337.04493627,238.0,178,18,2
Famotidine,Degarelix,Moderate,337.5,-0.6,337.04493627,238.0,1632.3,3.5,1630.748797,513.0,18,748,2
Delavirdine,Famotidine,Moderate,456.6,2.4,456.19435995,119.0,337.5,-0.6,337.04493627,238.0,179,18,2
Famotidine,Desipramine,Moderate,337.5,-0.6,337.04493627,238.0,266.4,4.9,266.17829871,15.3,18,586,2
Famotidine,Deutetrabenazine,Moderate,337.5,-0.6,337.04493627,238.0,323.5,2.9,323.2367542,38.8,18,902,2
Diclofenac,Famotidine,Minor,296.1,4.4,295.016684,49.3,337.5,-0.6,337.04493627,238.0,180,18,1
Disopyramide,Famotidine,Moderate,339.5,3.2,339.231062557,59.2,337.5,-0.6,337.04493627,238.0,181,18,2
Dofetilide,Famotidine,Moderate,441.6,1.8,441.13921332,122.0,337.5,-0.6,337.04493627,238.0,182,18,2
Dolasetron,Famotidine,Moderate,324.4,3.4,324.1473925,62.4,337.5,-0.6,337.04493627,238.0,17,18,2
Donepezil,Famotidine,Moderate,379.5,4.3,379.21474379,38.8,337.5,-0.6,337.04493627,238.0,183,18,2
Famotidine,Doxepin,Moderate,337.5,-0.6,337.04493627,238.0,279.4,4.3,279.162314293,12.5,18,590,2
Famotidine,Doxorubicin,Moderate,337.5,-0.6,337.04493627,238.0,543.5,1.3,543.17406074,206.0,18,701,2
Famotidine,Dronedarone,Moderate,337.5,-0.6,337.04493627,238.0,556.8,7.2,556.29709368,97.2,18,522,2
Droperidol,Famotidine,Moderate,379.4,3.5,379.16960512,52.7,337.5,-0.6,337.04493627,238.0,184,18,2
Duloxetine,Famotidine,Minor,297.4,4.3,297.1187354,49.5,337.5,-0.6,337.04493627,238.0,185,18,1
Efavirenz,Famotidine,Moderate,315.67,4.0,315.0273907,38.3,337.5,-0.6,337.04493627,238.0,186,18,2
Famotidine,Encorafenib,Moderate,337.5,-0.6,337.04493627,238.0,540.0,2.7,539.1517794,149.0,18,954,2
Enoxacin,Famotidine,Minor,320.32,-0.2,320.12846858,85.8,337.5,-0.6,337.04493627,238.0,187,18,1
Entecavir,Famotidine,Moderate,277.28,-1.3,277.11748936,126.0,337.5,-0.6,337.04493627,238.0,188,18,2
Famotidine,Entrectinib,Moderate,337.5,-0.6,337.04493627,238.0,560.6,5.7,560.27113067,85.5,18,1026,2
Famotidine,Enzalutamide,Moderate,337.5,-0.6,337.04493627,238.0,464.4,3.6,464.09300959,109.0,18,749,2
Epirubicin,Famotidine,Moderate,543.5,1.3,543.17406074,206.0,337.5,-0.6,337.04493627,238.0,189,18,2
Famotidine,Eribulin,Moderate,337.5,-0.6,337.04493627,238.0,729.9,1.1,729.4088117,146.0,18,750,2
Erlotinib,Famotidine,Moderate,393.4,3.3,393.16885622,74.7,337.5,-0.6,337.04493627,238.0,190,18,2
Erythromycin,Famotidine,Moderate,733.9,2.7,733.46124119,194.0,337.5,-0.6,337.04493627,238.0,191,18,2
Famotidine,Escitalopram,Moderate,337.5,-0.6,337.04493627,238.0,324.4,3.2,324.16379146,36.3,18,724,2
Etodolac,Famotidine,Minor,287.35,2.8,287.15214353,62.3,337.5,-0.6,337.04493627,238.0,192,18,1
Famotidine,Ezogabine,Moderate,337.5,-0.6,337.04493627,238.0,303.33,2.8,303.13830499,76.4,18,751,2
Fenoprofen,Famotidine,Minor,242.27,3.3,242.094294304,46.5,337.5,-0.6,337.04493627,238.0,193,18,1
Famotidine,Fingolimod,Moderate,337.5,-0.6,337.04493627,238.0,307.5,4.2,307.251129295,66.5,18,1069,2
Famotidine,Flecainide,Moderate,337.5,-0.6,337.04493627,238.0,414.34,3.8,414.13781148,59.6,18,725,2
Fluconazole,Famotidine,Moderate,306.27,0.4,306.10406535,81.7,337.5,-0.6,337.04493627,238.0,194,18,2
Fluoxetine,Famotidine,Moderate,309.33,4.0,309.13404868,21.3,337.5,-0.6,337.04493627,238.0,195,18,2
Fluphenazine,Famotidine,Moderate,437.5,4.4,437.17486812,55.3,337.5,-0.6,337.04493627,238.0,196,18,2
Flurbiprofen,Famotidine,Minor,244.26,4.2,244.08995782,37.3,337.5,-0.6,337.04493627,238.0,197,18,1
Flutamide,Famotidine,Moderate,276.21,3.3,276.0721767,74.9,337.5,-0.6,337.04493627,238.0,198,18,2
Famotidine,Formoterol,Moderate,337.5,-0.6,337.04493627,238.0,344.4,1.8,344.17360725,90.8,18,124,2
Famotidine,Fosamprenavir,Moderate,337.5,-0.6,337.04493627,238.0,585.6,1.8,585.19098791,186.0,18,403,2
Foscarnet,Famotidine,Moderate,126.01,-2.0,125.97181019,94.8,337.5,-0.6,337.04493627,238.0,199,18,2
Famotidine,Fosphenytoin,Moderate,337.5,-0.6,337.04493627,238.0,362.27,0.6,362.0667732,116.0,18,404,2
Famotidine,Fostemsavir,Moderate,337.5,-0.6,337.04493627,238.0,583.5,-0.1,583.15804781,182.0,18,1027,2
Galantamine,Famotidine,Moderate,287.35,1.8,287.15214353,41.9,337.5,-0.6,337.04493627,238.0,200,18,2
Famotidine,Gatifloxacin,Moderate,337.5,-0.6,337.04493627,238.0,375.4,-0.7,375.15943435,82.1,18,405,2
Gefitinib,Famotidine,Moderate,446.9,4.1,446.1520965,68.7,337.5,-0.6,337.04493627,238.0,201,18,2
Famotidine,Gemifloxacin,Moderate,337.5,-0.6,337.04493627,238.0,389.4,-0.7,389.1499323,121.0,18,406,2
Famotidine,Gilteritinib,Moderate,337.5,-0.6,337.04493627,238.0,552.7,3.5,552.3536373,121.0,18,1028,2
Famotidine,Glasdegib,Moderate,337.5,-0.6,337.04493627,238.0,374.4,2.4,374.18550935,96.8,18,1029,2
Glimepiride,Famotidine,Moderate,490.6,3.9,490.22499137,133.0,337.5,-0.6,337.04493627,238.0,90,18,2
Famotidine,Glipizide,Moderate,337.5,-0.6,337.04493627,238.0,445.5,1.9,445.17837553,139.0,18,100,2
Famotidine,Glyburide,Moderate,337.5,-0.6,337.04493627,238.0,494.0,4.8,493.1438199,122.0,18,101,2
Goserelin,Famotidine,Moderate,1269.4,-1.5,1268.64143943,496.0,337.5,-0.6,337.04493627,238.0,75,18,2
Granisetron,Famotidine,Moderate,312.4,2.8,312.1950114,50.2,337.5,-0.6,337.04493627,238.0,20,18,2
Grepafloxacin,Famotidine,Moderate,359.4,-0.2,359.16451973,72.9,337.5,-0.6,337.04493627,238.0,202,18,2
Famotidine,Halofantrine,Moderate,337.5,-0.6,337.04493627,238.0,500.4,8.6,499.1656545,23.5,18,752,2
Haloperidol,Famotidine,Moderate,375.9,3.2,375.1401348,40.5,337.5,-0.6,337.04493627,238.0,203,18,2
Famotidine,Halothane,Moderate,337.5,-0.6,337.04493627,238.0,197.38,2.3,195.89022,0.0,18,828,2
Famotidine,Histrelin,Moderate,337.5,-0.6,337.04493627,238.0,1323.5,0.7,1322.66726025,449.0,18,407,2
Famotidine,Hydroxychloroquine,Moderate,337.5,-0.6,337.04493627,238.0,335.9,3.6,335.1764402,48.4,18,753,2
Hydroxyzine,Famotidine,Moderate,374.9,3.7,374.1761058,35.9,337.5,-0.6,337.04493627,238.0,204,18,2
Famotidine,Ibuprofen,Minor,337.5,-0.6,337.04493627,238.0,206.28,3.5,206.130679813,37.3,18,325,1
Ibutilide,Famotidine,Moderate,384.6,4.0,384.24466419,78.0,337.5,-0.6,337.04493627,238.0,205,18,2
Famotidine,Idarubicin,Moderate,337.5,-0.6,337.04493627,238.0,497.5,1.9,497.16858144,177.0,18,829,2
Famotidine,Iloperidone,Moderate,337.5,-0.6,337.04493627,238.0,426.5,4.1,426.19548551,64.8,18,408,2
Imipramine,Famotidine,Moderate,280.4,4.8,280.193948774,6.5,337.5,-0.6,337.04493627,238.0,206,18,2
Famotidine,Indacaterol,Moderate,337.5,-0.6,337.04493627,238.0,392.5,3.3,392.20999276,81.6,18,126,2
Indomethacin,Famotidine,Minor,357.8,4.3,357.0767857,68.5,337.5,-0.6,337.04493627,238.0,207,18,1
Isoetharine,Famotidine,Moderate,239.31,1.7,239.15214353,72.7,337.5,-0.6,337.04493627,238.0,128,18,2
Famotidine,Isoprenaline,Moderate,337.5,-0.6,337.04493627,238.0,211.26,-0.6,211.1208434,72.7,18,129,2
Famotidine,Itraconazole,Moderate,337.5,-0.6,337.04493627,238.0,705.6,5.7,704.2393071,101.0,18,707,2
Famotidine,Ivabradine,Moderate,337.5,-0.6,337.04493627,238.0,468.6,2.4,468.26242225,60.5,18,1070,2
Famotidine,Ivosidenib,Moderate,337.5,-0.6,337.04493627,238.0,583.0,3.4,582.1394008,119.0,18,1071,2
Famotidine,Ketoconazole,Moderate,337.5,-0.6,337.04493627,238.0,531.4,4.3,530.1487608,69.1,18,279,2
Famotidine,Ketoprofen,Minor,337.5,-0.6,337.04493627,238.0,254.28,3.1,254.094294304,54.4,18,690,1
Ketorolac,Famotidine,Minor,255.27,1.9,255.08954328,59.3,337.5,-0.6,337.04493627,238.0,208,18,1
Famotidine,Lapatinib,Moderate,337.5,-0.6,337.04493627,238.0,581.1,5.1,580.1347324,115.0,18,754,2
Famotidine,Lasmiditan,Moderate,337.5,-0.6,337.04493627,238.0,377.4,2.8,377.13511131,62.3,18,1072,2
Famotidine,Lefamulin,Moderate,337.5,-0.6,337.04493627,238.0,507.7,4.3,507.30184471,135.0,18,1002,2
Famotidine,Lenvatinib,Moderate,337.5,-0.6,337.04493627,238.0,426.9,2.8,426.1094828,116.0,18,861,2
Leuprolide,Famotidine,Moderate,1209.4,0.7,1208.64546218,432.0,337.5,-0.6,337.04493627,238.0,77,18,2
Famotidine,Levosalbutamol,Moderate,337.5,-0.6,337.04493627,238.0,239.31,0.3,239.15214353,72.7,18,1063,2
Famotidine,Levofloxacin,Moderate,337.5,-0.6,337.04493627,238.0,361.4,-0.4,361.14378429,73.3,18,22,2
Famotidine,Levacetylmethadol,Moderate,337.5,-0.6,337.04493627,238.0,353.5,4.3,353.235479232,29.5,18,525,2
Famotidine,Lisdexamfetamine,Moderate,337.5,-0.6,337.04493627,238.0,263.38,1.2,263.199762429,81.1,18,133,2
Famotidine,Lofexidine,Moderate,337.5,-0.6,337.04493627,238.0,259.13,2.6,258.0326684,33.6,18,756,2
Famotidine,Lomefloxacin,Moderate,337.5,-0.6,337.04493627,238.0,351.35,-0.8,351.1394478,72.9,18,413,2
Famotidine,Maprotiline,Moderate,337.5,-0.6,337.04493627,238.0,277.4,4.6,277.183049738,12.0,18,604,2
Famotidine,Meclofenamic acid,Minor,337.5,-0.6,337.04493627,238.0,296.1,5.2,295.016684,49.3,18,667,1
Mefenamic acid,Famotidine,Minor,241.28,5.1,241.110278721,49.3,337.5,-0.6,337.04493627,238.0,209,18,1
Mefloquine,Famotidine,Moderate,378.31,3.6,378.11668211,45.2,337.5,-0.6,337.04493627,238.0,210,18,2
Famotidine,Mesoridazine,Moderate,337.5,-0.6,337.04493627,238.0,386.6,4.5,386.1486558,68.1,18,420,2
Orciprenaline,Famotidine,Moderate,211.26,0.7,211.1208434,72.7,337.5,-0.6,337.04493627,238.0,134,18,2
Methadone,Famotidine,Moderate,309.4,3.9,309.209264485,20.3,337.5,-0.6,337.04493627,238.0,211,18,2
Famotidine,Methotrimeprazine,Moderate,337.5,-0.6,337.04493627,238.0,328.5,4.7,328.16093457,41.0,18,423,2
Metronidazole,Famotidine,Minor,171.15,0.0,171.06439116,83.9,337.5,-0.6,337.04493627,238.0,25,18,1
Famotidine,Midostaurin,Moderate,337.5,-0.6,337.04493627,238.0,570.6,4.8,570.22670545,77.7,18,426,2
Mifepristone,Famotidine,Moderate,429.6,3.8,429.266779359,40.5,337.5,-0.6,337.04493627,238.0,212,18,2
Mirtazapine,Famotidine,Moderate,265.35,3.3,265.157897619,19.4,337.5,-0.6,337.04493627,238.0,213,18,2
Moxifloxacin,Famotidine,Moderate,401.4,0.6,401.17508442,82.1,337.5,-0.6,337.04493627,238.0,79,18,2
