DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1313,Norfloxacin,DDInter280,Canagliflozin,Moderate
DDInter280,Canagliflozin,DDInter1315,Norgestrel,Moderate
DDInter1323,Octreotide,DDInter280,Canagliflozin,Moderate
DDInter1325,Ofloxacin,DDInter280,Canagliflozin,Moderate
DDInter1326,Olanzapine,DDInter280,Canagliflozin,Moderate
DDInter1330,Olmesartan,DDInter280,Canagliflozin,Moderate
DDInter280,Canagliflozin,DDInter1331,Olodaterol,Moderate
DDInter1335,Omacetaxine mepesuccinate,DDInter280,Canagliflozin,Moderate
DDInter1348,Orlistat,DDInter280,Canagliflozin,Moderate
DDInter1381,Paliperidone,DDInter280,Canagliflozin,Moderate
DDInter1389,Papaverine,DDInter280,Canagliflozin,Moderate
DDInter1398,Pasireotide,DDInter280,Canagliflozin,Moderate
DDInter1404,Pegaspargase,DDInter280,Canagliflozin,Moderate
DDInter1412,Pegvisomant,DDInter280,Canagliflozin,Moderate
DDInter1417,Penbutolol,DDInter280,Canagliflozin,Moderate
DDInter1420,Pentamidine,DDInter280,Canagliflozin,Moderate
DDInter1423,Pentobarbital,DDInter280,Canagliflozin,Moderate
DDInter1431,Perindopril,DDInter280,Canagliflozin,Moderate
DDInter1432,Perphenazine,DDInter280,Canagliflozin,Moderate
DDInter1439,Phendimetrazine,DDInter280,Canagliflozin,Moderate
DDInter1442,Phenobarbital,DDInter280,Canagliflozin,Moderate
DDInter1444,Phenoxybenzamine,DDInter280,Canagliflozin,Moderate
DDInter1447,Phentermine,DDInter280,Canagliflozin,Moderate
DDInter1448,Phentolamine,DDInter280,Canagliflozin,Moderate
DDInter1458,Phenylpropanolamine,DDInter280,Canagliflozin,Moderate
DDInter1460,Phenytoin,DDInter280,Canagliflozin,Moderate
DDInter1471,Pindolol,DDInter280,Canagliflozin,Moderate
DDInter1490,Polythiazide,DDInter280,Canagliflozin,Moderate
DDInter1511,Prazosin,DDInter280,Canagliflozin,Moderate
DDInter1512,Prednicarbate (topical),DDInter280,Canagliflozin,Minor
DDInter1513,Prednisolone,DDInter280,Canagliflozin,Moderate
DDInter1515,Prednisone,DDInter280,Canagliflozin,Moderate
DDInter1521,Primidone,DDInter280,Canagliflozin,Moderate
DDInter1527,Prochlorperazine,DDInter280,Canagliflozin,Moderate
DDInter1529,Progesterone,DDInter280,Canagliflozin,Moderate
DDInter1530,Progesterone (topical),DDInter280,Canagliflozin,Moderate
DDInter1532,Promazine,DDInter280,Canagliflozin,Moderate
DDInter1533,Promethazine,DDInter280,Canagliflozin,Moderate
DDInter1537,Propiomazine,DDInter280,Canagliflozin,Moderate
DDInter1539,Propranolol,DDInter280,Canagliflozin,Moderate
DDInter1553,Quetiapine,DDInter280,Canagliflozin,Moderate
DDInter1554,Quinapril,DDInter280,Canagliflozin,Moderate
DDInter1555,Quinestrol,DDInter280,Canagliflozin,Moderate
DDInter1565,Ramipril,DDInter280,Canagliflozin,Moderate
DDInter1570,Ranolazine,DDInter280,Canagliflozin,Moderate
DDInter1581,Repaglinide,DDInter280,Canagliflozin,Moderate
DDInter1582,Reserpine,DDInter280,Canagliflozin,Moderate
DDInter1590,Rifampicin,DDInter280,Canagliflozin,Moderate
DDInter280,Canagliflozin,DDInter1600,Riociguat,Moderate
DDInter280,Canagliflozin,DDInter1601,Ripretinib,Moderate
DDInter1605,Risperidone,DDInter280,Canagliflozin,Moderate
DDInter1606,Ritodrine,DDInter280,Canagliflozin,Moderate
DDInter1607,Ritonavir,DDInter280,Canagliflozin,Moderate
DDInter1635,Salmeterol,DDInter280,Canagliflozin,Moderate
DDInter1640,Saquinavir,DDInter280,Canagliflozin,Moderate
DDInter1650,Secobarbital,DDInter280,Canagliflozin,Moderate
DDInter280,Canagliflozin,DDInter1656,Selexipag,Moderate
DDInter1661,Sermorelin,DDInter280,Canagliflozin,Moderate
DDInter1665,Sibutramine,DDInter280,Canagliflozin,Moderate
DDInter1666,Sildenafil,DDInter280,Canagliflozin,Moderate
DDInter1667,Silodosin,DDInter280,Canagliflozin,Moderate
DDInter1678,Sirolimus,DDInter280,Canagliflozin,Moderate
DDInter280,Canagliflozin,DDInter1306,Nitrous acid,Moderate
DDInter280,Canagliflozin,DDInter1698,Somapacitan,Moderate
DDInter280,Canagliflozin,DDInter1700,Somatrem,Moderate
DDInter1699,Somatotropin,DDInter280,Canagliflozin,Moderate
DDInter1704,Sotalol,DDInter280,Canagliflozin,Moderate
DDInter1705,Sparfloxacin,DDInter280,Canagliflozin,Moderate
DDInter1707,Spironolactone,DDInter280,Canagliflozin,Moderate
DDInter1708,St. John's Wort,DDInter280,Canagliflozin,Moderate
DDInter1717,Sucralfate,DDInter280,Canagliflozin,Moderate
DDInter1735,Tacrolimus,DDInter280,Canagliflozin,Moderate
DDInter1736,Tadalafil,DDInter280,Canagliflozin,Moderate
DDInter280,Canagliflozin,DDInter1741,Tagraxofusp,Moderate
DDInter1745,Tamsulosin,DDInter280,Canagliflozin,Moderate
DDInter1759,Telmisartan,DDInter280,Canagliflozin,Moderate
DDInter1763,Temsirolimus,DDInter280,Canagliflozin,Moderate
DDInter1766,Teprotumumab,DDInter280,Canagliflozin,Moderate
DDInter1767,Terazosin,DDInter280,Canagliflozin,Moderate
DDInter1769,Terbutaline,DDInter280,Canagliflozin,Moderate
DDInter1773,Tesamorelin,DDInter280,Canagliflozin,Moderate
DDInter1793,Thiethylperazine,DDInter280,Canagliflozin,Moderate
DDInter1796,Thioridazine,DDInter280,Canagliflozin,Moderate
DDInter280,Canagliflozin,DDInter1799,"Thyroid, porcine",Moderate
DDInter1800,Thyrotropin alfa,DDInter280,Canagliflozin,Moderate
DDInter1809,Timolol,DDInter280,Canagliflozin,Moderate
DDInter1817,Tipranavir,DDInter280,Canagliflozin,Moderate
DDInter1826,Tolazamide,DDInter280,Canagliflozin,Moderate
DDInter1827,Tolazoline,DDInter280,Canagliflozin,Moderate
DDInter1828,Tolbutamide,DDInter280,Canagliflozin,Moderate
DDInter1836,Torasemide,DDInter280,Canagliflozin,Moderate
DDInter1843,Trandolapril,DDInter280,Canagliflozin,Moderate
DDInter1852,Treprostinil,DDInter280,Canagliflozin,Moderate
DDInter1857,Triamcinolone (ophthalmic),DDInter280,Canagliflozin,Moderate
DDInter1858,Triamcinolone (topical),DDInter280,Canagliflozin,Minor
DDInter1859,Triamterene,DDInter280,Canagliflozin,Moderate
DDInter1861,Trichlormethiazide,DDInter280,Canagliflozin,Moderate
DDInter1866,Trifluoperazine,DDInter280,Canagliflozin,Moderate
DDInter1867,Triflupromazine,DDInter280,Canagliflozin,Moderate
DDInter45,Alimemazine,DDInter280,Canagliflozin,Moderate
DDInter1872,Trimethaphan,DDInter280,Canagliflozin,Moderate
DDInter1880,Triptorelin,DDInter280,Canagliflozin,Moderate
DDInter1887,Trovafloxacin,DDInter280,Canagliflozin,Moderate
DDInter280,Canagliflozin,DDInter1892,Turmeric,Moderate
DDInter1903,Urea,DDInter280,Canagliflozin,Moderate
DDInter1918,Vardenafil,DDInter280,Canagliflozin,Moderate
DDInter1928,Verapamil,DDInter280,Canagliflozin,Moderate
DDInter1947,Vorinostat,DDInter280,Canagliflozin,Moderate
DDInter1967,Ziprasidone,DDInter280,Canagliflozin,Moderate
DDInter1513,Prednisolone,DDInter281,Canakinumab,Moderate
DDInter1515,Prednisone,DDInter281,Canakinumab,Moderate
DDInter1675,Simvastatin,DDInter281,Canakinumab,Moderate
DDInter1857,Triamcinolone (ophthalmic),DDInter281,Canakinumab,Moderate
DDInter281,Canakinumab,DDInter1963,Zinc acetate,Minor
DDInter281,Canakinumab,DDInter1965,Zinc gluconate,Minor
DDInter281,Canakinumab,DDInter1966,Zinc sulfate,Minor
DDInter518,Dexfenfluramine,DDInter283,Cangrelor,Moderate
DDInter717,Fenfluramine,DDInter283,Cangrelor,Moderate
DDInter1665,Sibutramine,DDInter283,Cangrelor,Moderate
DDInter348,Chenodeoxycholic acid,DDInter284,Cannabidiol,Moderate
DDInter393,Clarithromycin,DDInter284,Cannabidiol,Minor
DDInter416,Clotrimazole,DDInter284,Cannabidiol,Moderate
DDInter601,Dronabinol,DDInter284,Cannabidiol,Moderate
DDInter676,Esomeprazole,DDInter284,Cannabidiol,Minor
DDInter1022,Lansoprazole,DDInter284,Cannabidiol,Minor
DDInter1055,Levofloxacin,DDInter284,Cannabidiol,Moderate
DDInter1197,Metoclopramide,DDInter284,Cannabidiol,Moderate
DDInter1224,Minocycline,DDInter284,Cannabidiol,Moderate
DDInter1245,Morphine (liposomal),DDInter284,Cannabidiol,Moderate
DDInter1253,Nabilone,DDInter284,Cannabidiol,Moderate
DDInter1263,Naltrexone,DDInter284,Cannabidiol,Moderate
DDInter1289,Nicotinamide,DDInter284,Cannabidiol,Moderate
DDInter1340,Omeprazole,DDInter284,Cannabidiol,Minor
DDInter284,Cannabidiol,DDInter1344,Opium,Moderate
DDInter1348,Orlistat,DDInter284,Cannabidiol,Moderate
DDInter1357,Oxandrolone,DDInter284,Cannabidiol,Moderate
DDInter1371,Oxymetholone,DDInter284,Cannabidiol,Moderate
DDInter1621,Rosiglitazone,DDInter284,Cannabidiol,Moderate
DDInter1622,Rosuvastatin,DDInter284,Cannabidiol,Moderate
DDInter1665,Sibutramine,DDInter284,Cannabidiol,Moderate
DDInter1675,Simvastatin,DDInter284,Cannabidiol,Moderate
DDInter1709,Stanozolol,DDInter284,Cannabidiol,Moderate
DDInter1725,Sulfasalazine,DDInter284,Cannabidiol,Moderate
DDInter1881,Troglitazone,DDInter284,Cannabidiol,Moderate
DDInter285,Capecitabine,DDInter58,Aluminum hydroxide,Minor
DDInter285,Capecitabine,DDInter1055,Levofloxacin,Minor
DDInter285,Capecitabine,DDInter1112,Magaldrate,Minor
DDInter285,Capecitabine,DDInter1113,Magnesium carbonate,Minor
DDInter285,Capecitabine,DDInter1118,Magnesium hydroxide,Minor
DDInter285,Capecitabine,DDInter1119,Magnesium oxide,Minor
DDInter1811,Tinidazole,DDInter285,Capecitabine,Moderate
DDInter518,Dexfenfluramine,DDInter286,Caplacizumab,Moderate
DDInter717,Fenfluramine,DDInter286,Caplacizumab,Moderate
DDInter1665,Sibutramine,DDInter286,Caplacizumab,Moderate
DDInter393,Clarithromycin,DDInter287,Capmatinib,Major
DDInter519,Dexlansoprazole,DDInter287,Capmatinib,Minor
DDInter636,Empagliflozin,DDInter287,Capmatinib,Moderate
DDInter676,Esomeprazole,DDInter287,Capmatinib,Minor
DDInter734,Fidaxomicin,DDInter287,Capmatinib,Minor
DDInter833,Glycerol phenylbutyrate,DDInter287,Capmatinib,Moderate
DDInter1022,Lansoprazole,DDInter287,Capmatinib,Minor
DDInter1188,Methylnaltrexone,DDInter287,Capmatinib,Moderate
DDInter1201,Metreleptin,DDInter287,Capmatinib,Moderate
DDInter1258,Naldemedine,DDInter287,Capmatinib,Moderate
DDInter1261,Naloxegol,DDInter287,Capmatinib,Minor
DDInter1263,Naltrexone,DDInter287,Capmatinib,Moderate
DDInter1340,Omeprazole,DDInter287,Capmatinib,Minor
DDInter1388,Pantoprazole,DDInter287,Capmatinib,Minor
DDInter1593,Rifaximin,DDInter287,Capmatinib,Moderate
DDInter1622,Rosuvastatin,DDInter287,Capmatinib,Moderate
DDInter1725,Sulfasalazine,DDInter287,Capmatinib,Moderate
DDInter1881,Troglitazone,DDInter287,Capmatinib,Moderate
DDInter288,Capreomycin,DDInter86,Amphotericin B (cholesteryl sulfate),Moderate
DDInter288,Capreomycin,DDInter88,Amphotericin B (liposomal),Moderate
DDInter288,Capreomycin,DDInter519,Dexlansoprazole,Moderate
DDInter288,Capreomycin,DDInter676,Esomeprazole,Moderate
DDInter288,Capreomycin,DDInter706,Exenatide,Moderate
DDInter288,Capreomycin,DDInter1004,Kanamycin,Major
DDInter288,Capreomycin,DDInter1022,Lansoprazole,Moderate
DDInter288,Capreomycin,DDInter1277,Neomycin,Major
DDInter288,Capreomycin,DDInter1334,Olsalazine,Moderate
DDInter1388,Pantoprazole,DDInter288,Capreomycin,Moderate
DDInter288,Capreomycin,DDInter1489,Polymyxin B,Moderate
DDInter288,Capreomycin,DDInter1513,Prednisolone,Moderate
DDInter288,Capreomycin,DDInter1515,Prednisone,Moderate
DDInter288,Capreomycin,DDInter1713,Streptomycin,Major
DDInter288,Capreomycin,DDInter1725,Sulfasalazine,Moderate
DDInter288,Capreomycin,DDInter1916,Vancomycin,Moderate
DDInter16,Acetohexamide,DDInter292,Captopril,Moderate
DDInter292,Captopril,DDInter58,Aluminum hydroxide,Minor
DDInter292,Captopril,DDInter271,Calcium carbonate,Minor
DDInter364,Chlorpropamide,DDInter292,Captopril,Moderate
DDInter292,Captopril,DDInter474,Dapagliflozin,Moderate
DDInter601,Dronabinol,DDInter292,Captopril,Moderate
DDInter292,Captopril,DDInter636,Empagliflozin,Moderate
DDInter292,Captopril,DDInter669,Ertugliflozin,Moderate
DDInter292,Captopril,DDInter706,Exenatide,Moderate
DDInter825,Glimepiride,DDInter292,Captopril,Moderate
DDInter826,Glipizide,DDInter292,Captopril,Moderate
DDInter831,Glyburide,DDInter292,Captopril,Moderate
DDInter292,Captopril,DDInter832,Glycerin,Moderate
DDInter934,Insulin human,DDInter292,Captopril,Moderate
DDInter292,Captopril,DDInter929,Insulin aspart (aspart),Moderate
DDInter292,Captopril,DDInter928,Insulin aspart (aspart protamine),Moderate
DDInter292,Captopril,DDInter930,Insulin degludec,Moderate
DDInter292,Captopril,DDInter931,Insulin detemir,Moderate
DDInter932,Insulin glargine,DDInter292,Captopril,Moderate
DDInter292,Captopril,DDInter933,Insulin glulisine,Moderate
DDInter935,"Insulin human (inhalation, rapid acting)",DDInter292,Captopril,Moderate
DDInter936,Insulin human (isophane),DDInter292,Captopril,Moderate
DDInter940,Insulin lispro,DDInter292,Captopril,Moderate
DDInter941,Insulin lispro (protamine),DDInter292,Captopril,Moderate
DDInter937,Insulin human (regular),DDInter292,Captopril,Moderate
DDInter939,Insulin human (zinc),DDInter292,Captopril,Moderate
DDInter938,Insulin human (zinc extended),DDInter292,Captopril,Moderate
DDInter292,Captopril,DDInter1070,Linagliptin,Moderate
DDInter292,Captopril,DDInter1112,Magaldrate,Minor
DDInter292,Captopril,DDInter1113,Magnesium carbonate,Minor
DDInter292,Captopril,DDInter1118,Magnesium hydroxide,Minor
DDInter292,Captopril,DDInter1119,Magnesium oxide,Minor
DDInter1123,Mannitol,DDInter292,Captopril,Moderate
DDInter1253,Nabilone,DDInter292,Captopril,Moderate
DDInter292,Captopril,DDInter1258,Naldemedine,Moderate
DDInter1263,Naltrexone,DDInter292,Captopril,Moderate
DDInter1269,Nateglinide,DDInter292,Captopril,Moderate
DDInter292,Captopril,DDInter1344,Opium,Moderate
DDInter292,Captopril,DDInter1487,Polyethylene glycol (3350 with electrolytes),Moderate
DDInter292,Captopril,DDInter1496,Potassium bicarbonate,Major
DDInter1497,Potassium chloride,DDInter292,Captopril,Major
DDInter292,Captopril,DDInter1498,Potassium citrate,Major
DDInter292,Captopril,DDInter1499,Potassium gluconate,Major
DDInter1513,Prednisolone,DDInter292,Captopril,Moderate
DDInter1515,Prednisone,DDInter292,Captopril,Moderate
DDInter292,Captopril,DDInter1544,Prucalopride,Minor
DDInter1581,Repaglinide,DDInter292,Captopril,Moderate
DDInter292,Captopril,DDInter1646,Saxagliptin,Moderate
DDInter292,Captopril,DDInter1679,Sitagliptin,Moderate
DDInter1826,Tolazamide,DDInter292,Captopril,Moderate
DDInter1828,Tolbutamide,DDInter292,Captopril,Moderate
DDInter294,Carbamoylcholine (ophthalmic),DDInter137,Atropine (ophthalmic),Moderate
DDInter294,Carbamoylcholine (ophthalmic),DDInter397,Clidinium,Moderate
DDInter294,Carbamoylcholine (ophthalmic),DDInter543,Dicyclomine,Moderate
DDInter294,Carbamoylcholine (ophthalmic),DDInter835,Glycopyrronium (topical),Moderate
DDInter294,Carbamoylcholine (ophthalmic),DDInter1149,Mepenzolate,Moderate
DDInter294,Carbamoylcholine (ophthalmic),DDInter1180,Methscopolamine,Moderate
DDInter294,Carbamoylcholine (ophthalmic),DDInter1535,Propantheline,Moderate
DDInter294,Carbamoylcholine (ophthalmic),DDInter1647,Scopolamine,Moderate
DDInter294,Carbamoylcholine (ophthalmic),DDInter1648,Scopolamine (ophthalmic),Moderate
DDInter1886,Trospium,DDInter294,Carbamoylcholine (ophthalmic),Moderate
DDInter293,Carbamazepine,DDInter24,Activated charcoal,Moderate
DDInter380,Cimetidine,DDInter293,Carbamazepine,Moderate
DDInter293,Carbamazepine,DDInter393,Clarithromycin,Major
DDInter293,Carbamazepine,DDInter558,Dihydrotachysterol,Moderate
DDInter601,Dronabinol,DDInter293,Carbamazepine,Moderate
DDInter293,Carbamazepine,DDInter629,Eliglustat,Major
DDInter293,Carbamazepine,DDInter636,Empagliflozin,Moderate
DDInter662,Ergocalciferol,DDInter293,Carbamazepine,Moderate
DDInter293,Carbamazepine,DDInter832,Glycerin,Moderate
DDInter293,Carbamazepine,DDInter833,Glycerol phenylbutyrate,Moderate
DDInter293,Carbamazepine,DDInter1070,Linagliptin,Moderate
DDInter293,Carbamazepine,DDInter1123,Mannitol,Moderate
DDInter293,Carbamazepine,DDInter1197,Metoclopramide,Moderate
DDInter293,Carbamazepine,DDInter1209,Miconazole,Moderate
DDInter1245,Morphine (liposomal),DDInter293,Carbamazepine,Moderate
DDInter1253,Nabilone,DDInter293,Carbamazepine,Moderate
DDInter293,Carbamazepine,DDInter1258,Naldemedine,Major
DDInter293,Carbamazepine,DDInter1261,Naloxegol,Major
DDInter293,Carbamazepine,DDInter1263,Naltrexone,Moderate
DDInter293,Carbamazepine,DDInter1289,Nicotinamide,Minor
DDInter1300,Nitisinone,DDInter293,Carbamazepine,Moderate
DDInter293,Carbamazepine,DDInter1342,Ondansetron,Moderate
DDInter293,Carbamazepine,DDInter1344,Opium,Moderate
DDInter293,Carbamazepine,DDInter1513,Prednisolone,Moderate
DDInter293,Carbamazepine,DDInter1515,Prednisone,Moderate
DDInter293,Carbamazepine,DDInter1581,Repaglinide,Moderate
DDInter293,Carbamazepine,DDInter1615,Rolapitant,Major
DDInter293,Carbamazepine,DDInter1646,Saxagliptin,Moderate
DDInter293,Carbamazepine,DDInter1665,Sibutramine,Moderate
DDInter293,Carbamazepine,DDInter1675,Simvastatin,Moderate
DDInter293,Carbamazepine,DDInter1452,Phenylbutyric acid,Moderate
DDInter1881,Troglitazone,DDInter293,Carbamazepine,Moderate
DDInter1054,Levodopa,DDInter58,Aluminum hydroxide,Minor
DDInter1054,Levodopa,DDInter271,Calcium carbonate,Minor
DDInter1054,Levodopa,DDInter975,Iron,Moderate
DDInter397,Clidinium,DDInter1054,Levodopa,Moderate
DDInter543,Dicyclomine,DDInter1054,Levodopa,Moderate
DDInter1054,Levodopa,DDInter650,Ephedrine,Moderate
DDInter1054,Levodopa,DDInter1112,Magaldrate,Minor
DDInter1054,Levodopa,DDInter1113,Magnesium carbonate,Minor
DDInter1054,Levodopa,DDInter1118,Magnesium hydroxide,Minor
DDInter1054,Levodopa,DDInter1119,Magnesium oxide,Minor
DDInter1054,Levodopa,DDInter1149,Mepenzolate,Moderate
DDInter1197,Metoclopramide,DDInter1054,Levodopa,Moderate
DDInter1535,Propantheline,DDInter1054,Levodopa,Moderate
DDInter1622,Rosuvastatin,DDInter1054,Levodopa,Moderate
DDInter1639,Sapropterin,DDInter1054,Levodopa,Moderate
DDInter1647,Scopolamine,DDInter1054,Levodopa,Moderate
DDInter1675,Simvastatin,DDInter1054,Levodopa,Moderate
DDInter1811,Tinidazole,DDInter1054,Levodopa,Moderate
DDInter1886,Trospium,DDInter1054,Levodopa,Moderate
DDInter601,Dronabinol,DDInter646,Entacapone,Moderate
DDInter646,Entacapone,DDInter1344,Opium,Moderate
DDInter297,Carbinoxamine,DDInter397,Clidinium,Moderate
DDInter297,Carbinoxamine,DDInter543,Dicyclomine,Moderate
DDInter601,Dronabinol,DDInter297,Carbinoxamine,Moderate
DDInter297,Carbinoxamine,DDInter632,Eluxadoline,Moderate
DDInter297,Carbinoxamine,DDInter835,Glycopyrronium (topical),Moderate
DDInter297,Carbinoxamine,DDInter1149,Mepenzolate,Moderate
DDInter297,Carbinoxamine,DDInter1180,Methscopolamine,Moderate
DDInter297,Carbinoxamine,DDInter1197,Metoclopramide,Moderate
DDInter1245,Morphine (liposomal),DDInter297,Carbinoxamine,Moderate
DDInter1253,Nabilone,DDInter297,Carbinoxamine,Moderate
DDInter297,Carbinoxamine,DDInter1344,Opium,Moderate
DDInter297,Carbinoxamine,DDInter1497,Potassium chloride,Major
DDInter297,Carbinoxamine,DDInter1498,Potassium citrate,Major
DDInter297,Carbinoxamine,DDInter1535,Propantheline,Moderate
DDInter1647,Scopolamine,DDInter297,Carbinoxamine,Moderate
DDInter297,Carbinoxamine,DDInter1665,Sibutramine,Moderate
DDInter1886,Trospium,DDInter297,Carbinoxamine,Moderate
DDInter547,Diethylpropion,DDInter1060,Levonordefrin,Moderate
DDInter1126,Mazindol,DDInter1060,Levonordefrin,Moderate
DDInter1245,Morphine (liposomal),DDInter1153,Mepivacaine,Moderate
DDInter1447,Phentermine,DDInter1060,Levonordefrin,Moderate
DDInter1665,Sibutramine,DDInter1060,Levonordefrin,Moderate
DDInter298,Carboplatin,DDInter519,Dexlansoprazole,Moderate
DDInter676,Esomeprazole,DDInter298,Carboplatin,Moderate
DDInter298,Carboplatin,DDInter1004,Kanamycin,Moderate
DDInter1022,Lansoprazole,DDInter298,Carboplatin,Moderate
DDInter298,Carboplatin,DDInter1055,Levofloxacin,Minor
DDInter298,Carboplatin,DDInter1277,Neomycin,Moderate
DDInter1388,Pantoprazole,DDInter298,Carboplatin,Moderate
DDInter298,Carboplatin,DDInter1622,Rosuvastatin,Moderate
DDInter1675,Simvastatin,DDInter298,Carboplatin,Moderate
DDInter298,Carboplatin,DDInter1713,Streptomycin,Moderate
DDInter1811,Tinidazole,DDInter298,Carboplatin,Moderate
DDInter1916,Vancomycin,DDInter298,Carboplatin,Moderate
DDInter561,Diltiazem,DDInter271,Calcium carbonate,Moderate
DDInter561,Diltiazem,DDInter272,Calcium chloride,Moderate
DDInter561,Diltiazem,DDInter273,Calcium citrate,Moderate
DDInter561,Diltiazem,DDInter274,Calcium glubionate anhydrous,Moderate
DDInter275,Calcium glucoheptonate,DDInter561,Diltiazem,Moderate
DDInter561,Diltiazem,DDInter276,Calcium gluconate,Moderate
DDInter561,Diltiazem,DDInter278,Calcium lactate,Moderate
DDInter561,Diltiazem,DDInter380,Cimetidine,Moderate
DDInter561,Diltiazem,DDInter385,Cisapride,Major
DDInter561,Diltiazem,DDInter393,Clarithromycin,Moderate
DDInter416,Clotrimazole,DDInter561,Diltiazem,Moderate
DDInter561,Diltiazem,DDInter474,Dapagliflozin,Moderate
DDInter561,Diltiazem,DDInter581,Dolasetron,Major
DDInter561,Diltiazem,DDInter601,Dronabinol,Moderate
DDInter561,Diltiazem,DDInter629,Eliglustat,Major
DDInter561,Diltiazem,DDInter636,Empagliflozin,Moderate
DDInter561,Diltiazem,DDInter669,Ertugliflozin,Moderate
DDInter561,Diltiazem,DDInter734,Fidaxomicin,Minor
DDInter561,Diltiazem,DDInter840,Granisetron,Moderate
DDInter934,Insulin human,DDInter561,Diltiazem,Minor
DDInter561,Diltiazem,DDInter929,Insulin aspart (aspart),Minor
DDInter561,Diltiazem,DDInter928,Insulin aspart (aspart protamine),Minor
DDInter561,Diltiazem,DDInter930,Insulin degludec,Minor
DDInter561,Diltiazem,DDInter931,Insulin detemir,Minor
DDInter932,Insulin glargine,DDInter561,Diltiazem,Minor
DDInter561,Diltiazem,DDInter933,Insulin glulisine,Minor
DDInter935,"Insulin human (inhalation, rapid acting)",DDInter561,Diltiazem,Minor
DDInter936,Insulin human (isophane),DDInter561,Diltiazem,Minor
DDInter940,Insulin lispro,DDInter561,Diltiazem,Minor
DDInter941,Insulin lispro (protamine),DDInter561,Diltiazem,Minor
DDInter937,Insulin human (regular),DDInter561,Diltiazem,Minor
DDInter939,Insulin human (zinc),DDInter561,Diltiazem,Minor
DDInter938,Insulin human (zinc extended),DDInter561,Diltiazem,Minor
DDInter561,Diltiazem,DDInter1022,Lansoprazole,Moderate
DDInter561,Diltiazem,DDInter1209,Miconazole,Moderate
DDInter561,Diltiazem,DDInter1253,Nabilone,Moderate
DDInter561,Diltiazem,DDInter1258,Naldemedine,Moderate
DDInter561,Diltiazem,DDInter1261,Naloxegol,Major
DDInter561,Diltiazem,DDInter1300,Nitisinone,Moderate
DDInter561,Diltiazem,DDInter1344,Opium,Moderate
DDInter561,Diltiazem,DDInter1513,Prednisolone,Moderate
DDInter561,Diltiazem,DDInter1515,Prednisone,Moderate
DDInter561,Diltiazem,DDInter1544,Prucalopride,Minor
DDInter561,Diltiazem,DDInter1581,Repaglinide,Moderate
DDInter561,Diltiazem,DDInter1646,Saxagliptin,Moderate
DDInter561,Diltiazem,DDInter1665,Sibutramine,Minor
DDInter561,Diltiazem,DDInter1675,Simvastatin,Major
DDInter1881,Troglitazone,DDInter561,Diltiazem,Moderate
DDInter1202,Metronidazole,DDInter299,Carfilzomib,Moderate
DDInter1263,Naltrexone,DDInter299,Carfilzomib,Moderate
DDInter1357,Oxandrolone,DDInter299,Carfilzomib,Major
DDInter1371,Oxymetholone,DDInter299,Carfilzomib,Major
DDInter1622,Rosuvastatin,DDInter299,Carfilzomib,Moderate
DDInter1675,Simvastatin,DDInter299,Carfilzomib,Moderate
DDInter1709,Stanozolol,DDInter299,Carfilzomib,Major
DDInter1811,Tinidazole,DDInter299,Carfilzomib,Moderate
DDInter16,Acetohexamide,DDInter300,Cariprazine,Moderate
DDInter364,Chlorpropamide,DDInter300,Cariprazine,Moderate
DDInter380,Cimetidine,DDInter300,Cariprazine,Moderate
DDInter393,Clarithromycin,DDInter300,Cariprazine,Major
DDInter397,Clidinium,DDInter300,Cariprazine,Moderate
DDInter416,Clotrimazole,DDInter300,Cariprazine,Moderate
DDInter300,Cariprazine,DDInter474,Dapagliflozin,Moderate
DDInter543,Dicyclomine,DDInter300,Cariprazine,Moderate
DDInter601,Dronabinol,DDInter300,Cariprazine,Moderate
DDInter300,Cariprazine,DDInter607,Dulaglutide,Moderate
DDInter300,Cariprazine,DDInter636,Empagliflozin,Moderate
DDInter300,Cariprazine,DDInter669,Ertugliflozin,Moderate
DDInter706,Exenatide,DDInter300,Cariprazine,Moderate
DDInter825,Glimepiride,DDInter300,Cariprazine,Moderate
DDInter826,Glipizide,DDInter300,Cariprazine,Moderate
DDInter831,Glyburide,DDInter300,Cariprazine,Moderate
DDInter934,Insulin human,DDInter300,Cariprazine,Moderate
DDInter929,Insulin aspart (aspart),DDInter300,Cariprazine,Moderate
DDInter928,Insulin aspart (aspart protamine),DDInter300,Cariprazine,Moderate
DDInter300,Cariprazine,DDInter930,Insulin degludec,Moderate
DDInter931,Insulin detemir,DDInter300,Cariprazine,Moderate
DDInter932,Insulin glargine,DDInter300,Cariprazine,Moderate
DDInter933,Insulin glulisine,DDInter300,Cariprazine,Moderate
DDInter935,"Insulin human (inhalation, rapid acting)",DDInter300,Cariprazine,Moderate
DDInter936,Insulin human (isophane),DDInter300,Cariprazine,Moderate
DDInter940,Insulin lispro,DDInter300,Cariprazine,Moderate
DDInter941,Insulin lispro (protamine),DDInter300,Cariprazine,Moderate
DDInter937,Insulin human (regular),DDInter300,Cariprazine,Moderate
DDInter939,Insulin human (zinc),DDInter300,Cariprazine,Moderate
DDInter938,Insulin human (zinc extended),DDInter300,Cariprazine,Moderate
DDInter300,Cariprazine,DDInter1070,Linagliptin,Moderate
DDInter300,Cariprazine,DDInter1077,Liraglutide,Moderate
